> Cross profile number -L0-00 at  158.500/050.000 az=-51.4
156.262467275	51.101973509	-200.397655906	126.911500948	-94.4805666062
156.285364392	51.0911689803	-198.393512877	126.911500948	-85.0181167871
156.30825081	51.0803599815	-196.389373159	126.929319612	-70.7239327088
156.331126534	51.0695465165	-194.385236754	126.947127239	-70.6183190571
156.353991569	51.058728589	-192.381103663	126.964923833	-72.7522059601
156.376845919	51.0479062028	-190.376973888	126.9827094	-60.6147071462
156.39968959	51.0370793619	-188.37284743	127.000483942	-49.7728137108
156.422522586	51.0262480699	-186.368724291	127.018247466	-39.8165699577
156.445344911	51.0154123306	-184.364604472	127.035999975	-31.585287529
156.468156571	51.004572148	-182.360487976	127.053741473	-24.4527754136
156.49095757	50.9937275256	-180.356374804	127.071471966	-21.1694090865
156.513747913	50.9828784675	-178.352264957	127.089191458	-19.6563859855
156.536527605	50.9720249773	-176.348158437	127.106899953	-10.7163529801
156.55929665	50.9611670588	-174.344055246	127.124597455	-9.31006274408
156.582055054	50.9503047158	-172.339955385	127.14228397	-10.836329151
156.60480282	50.9394379521	-170.335858856	127.159959502	-12.9335744695
156.627539954	50.9285667715	-168.331765661	127.177624054	-18.689190826
156.650266461	50.9176911777	-166.327675801	127.195277632	-18.2161923578
156.672982345	50.9068111746	-164.323589277	127.212920241	-5.74913848767
156.695687611	50.8959267658	-162.319506092	127.230551884	38.2962346604
156.718382264	50.8850379552	-160.315426247	127.248172566	-3.26054255843
156.741066308	50.8741447465	-158.311349744	127.265782293	-22.6956593495
156.763739749	50.8632471435	-156.307276584	127.283381067	-33.6557245044
156.786402591	50.85234515	-154.303206768	127.300968894	-41.8338242739
156.80905484	50.8414387697	-152.299140299	127.318545779	-48.3145286774
156.831696499	50.8305280063	-150.295077178	127.336111726	-50.6629257795
156.854327574	50.8196128636	-148.291017407	127.353666738	-51.3555011712
156.876948069	50.8086933454	-146.286960986	127.371210822	-54.8713602243
156.89955799	50.7977694555	-144.282907919	127.388743982	-58.1792809307
156.922157341	50.7868411974	-142.278858206	127.406266222	-60.955258852
156.944746127	50.7759085751	-140.274811849	127.423777546	-63.3155949409
