> Cross profile number -L0-000 at  159.000/050.000 az=-38.6
160.697846988	48.5825260361	-200.276979909	322.643160485	-5618.61382156
160.681344851	48.5968217512	-198.274428245	322.643160485	-5634.37750823
160.664833373	48.6111151073	-196.271872141	322.630784017	-5631.09404298
160.648312545	48.6254061018	-194.269311596	322.618397818	-5606.45249738
160.631782359	48.6396947321	-192.266746613	322.60600188	-5567.37729145
160.615242806	48.6539809958	-190.264177193	322.593596196	-5536.11400341
160.598693879	48.6682648904	-188.261603335	322.581180757	-5520.12429853
160.582135567	48.6825464131	-186.259025042	322.568755555	-5510.87390766
160.565567863	48.6968255617	-184.256442314	322.556320582	-5510.26588438
160.548990758	48.7111023334	-182.253855152	322.543875828	-5508.45691646
160.532404245	48.7253767258	-180.251263558	322.531421287	-5493.3727033
160.515808314	48.7396487363	-178.248667532	322.51895695	-5482.39968154
160.499202956	48.7539183624	-176.246067075	322.506482809	-5499.65932211
160.482588164	48.7681856015	-174.243462189	322.493998854	-5535.39732802
160.465963929	48.782450451	-172.240852874	322.481505079	-5559.96086993
160.449330241	48.7967129084	-170.238239131	322.469001475	-5552.59444868
160.432687094	48.8109729712	-168.235620962	322.456488033	-5530.3284617
160.416034478	48.8252306367	-166.232998367	322.443964745	-5518.30122633
160.399372384	48.8394859024	-164.230371348	322.431431604	-5517.33652407
160.382700805	48.8537387657	-162.227739905	322.4188886	-5510.62236447
160.366019731	48.8679892241	-160.225104039	322.406335725	-5500.9382831
160.349329154	48.8822372749	-158.222463752	322.393772971	-5489.66375151
160.332629065	48.8964829156	-156.219819045	322.38120033	-5479.3061644
160.315919456	48.9107261436	-154.217169918	322.368617793	-5471.12986191
160.299200318	48.9249669564	-152.214516373	322.356025353	-5471.20791528
160.282471643	48.9392053512	-150.211858411	322.343423	-5480.29836879
160.265733422	48.9534413256	-148.209196032	322.330810726	-5497.21759055
160.248985646	48.967674877	-146.206529238	322.318188523	-5516.25420591
160.232228307	48.9819060026	-144.203858029	322.305556383	-5534.55213123
160.215461396	48.9961347	-142.201182408	322.292914296	-5547.84043324
160.198684904	49.0103609665	-140.198502374	322.280262256	-5556.23627459
160.181898823	49.0245847996	-138.195817929	322.267600253	-5561.22298287
160.165103145	49.0388061965	-136.193129074	322.254928279	-5562.5288244
160.14829786	49.0530251547	-134.190435811	322.242246326	-5563.97753953
160.131482959	49.0672416716	-132.187738139	322.229554384	-5569.06982289
160.114658435	49.0814557446	-130.18503606	322.216852447	-5578.88920447
160.097824278	49.0956673709	-128.182329576	322.204140505	-5596.89487359
160.080980481	49.1098765481	-126.179618686	322.19141855	-5610.95379329
160.064127033	49.1240832734	-124.176903393	322.178686573	-5620.10280075
160.047263926	49.1382875443	-122.174183697	322.165944566	-5613.69207628
160.030391153	49.152489358	-120.1714596	322.153192521	-5597.98179707
160.013508703	49.166688712	-118.168731102	322.140430429	-5583.81190243
159.996616569	49.1808856036	-116.165998205	322.127658282	-5573.34488949
159.979714741	49.1950800301	-114.163260909	322.11487607	-5565.51148588
159.96280321	49.209271989	-112.160519216	322.102083787	-5563.4231543
159.945881969	49.2234614775	-110.157773126	322.089281422	-5567.74571574
159.928951009	49.2376484931	-108.155022642	322.076468968	-5574.80419444
159.912010319	49.2518330329	-106.152267763	322.063646417	-5580.76906078
159.895059893	49.2660150944	-104.149508491	322.050813759	-5586.19313379
159.87809972	49.280194675	-102.146744828	322.037970986	-5590.00915377
159.861129793	49.2943717719	-100.143976773	322.025118089	-5593.07733306
159.844150102	49.3085463824	-98.1412043283	322.012255061	-5594.8997553
159.827160639	49.322718504	-96.1384274951	321.999381892	-5595.33945638
159.810161395	49.3368881338	-94.1356462742	321.986498575	-5596.17805953
159.793152361	49.3510552693	-92.1328606668	321.973605099	-5597.25496438
159.776133528	49.3652199077	-90.1300706739	321.960701458	-5597.79126554
159.759104887	49.3793820464	-88.1272762966	321.947787642	-5596.60225762
159.74206643	49.3935416826	-86.124477536	321.934863642	-5593.77122521
159.725018148	49.4076988137	-84.1216743932	321.921929451	-5590.04155718
159.707960031	49.421853437	-82.1188668692	321.908985059	-5586.69579187
159.690892072	49.4360055498	-80.1160549653	321.896030458	-5584.81995773
